인덱스,장학금명,재단,장학종류,선발인원,장학혜택,선발대상,신청기간,조회수
4796,풀브라이트 전문가 해외파견 지원,풀브라이트,기타장학,인원 미정,기타혜택 : 최대 -만원,대학원생,2022. 03. 01. (화) ~ 2022. 03. 18. (금),조회 : 310
4797,콘텐츠 스타트업 지원사업 (소셜벤처),한국콘텐츠진흥원,기타장학,인원 미정,기타혜택 : 최대 -만원,기타/일반,2022. 02. 28. (월) ~ 2022. 03. 18. (금),조회 : 250
4807,콘텐츠 스타트업 지원사업 (디지털뉴딜),한국콘텐츠진흥원,기타장학,총 -명 선발,"기타혜택 : 최대 8,000만원",기타/일반,2022. 02. 28. (월) ~ 2022. 03. 18. (금),조회 : 127
4808,콘텐츠 기업 창업 도약 지원사업,한국콘텐츠진흥원,기타장학,총 -명 선발,기타혜택 : 최대 15000만원,기타/일반,2022. 02. 28. (월) ~ 2022. 03. 18. (금),조회 : 221
4810,콘텐츠 창업 재도전 지원사업,한국콘텐츠진흥원,기타장학,총 -명 선발,"기타혜택 : 최대 7,000만원",기타/일반,2022. 02. 28. (월) ~ 2022. 03. 18. (금),조회 : 154
4811,한국국토정보공사 장학 (2022년),한국국토정보공사,장학금,총 65명 선발,장학금지급 : 최대 100만원,"대학생, 전문대생",2022. 03. 04. (금) ~ 2022. 03. 18. (금),"조회 : 1,435"
4812,완도군 다자녀 장학 (2022년),장보고장학회,장학금,총 00명 선발,장학금지급 : 최대 100만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생",2022. 03. 07. (월) ~ 2022. 03. 18. (금),조회 : 170
4813,제주도 청소년육성기금 장학 (2022년),제주특별자치도,장학금,인원 미정,장학금지급 : 최대 200만원,"고등학생, 대학생",2022. 03. 03. (목) ~ 2022. 03. 18. (금),조회 : 529
4814,경희대 보훈장학,경희대학교 국제캠퍼스,장학금,인원 미정,장학금지급 : 최대 -만원,대학생,2022. 03. 02. (수) ~ 2022. 03. 18. (금),조회 : 210
4815,경희대 형제자매 장학,경희대학교 국제캠퍼스,장학금,인원 미정,장학금지급 : 최대 -만원,대학생,2022. 03. 02. (수) ~ 2022. 03. 18. (금),조회 : 311
4816,경희대 동문장학,경희대학교 국제캠퍼스,장학금,인원 미정,장학금지급 : 최대 -만원,대학생,2022. 03. 02. (수) ~ 2022. 03. 18. (금),조회 : 221
4817,진주시 미래세대 행복기금 장학,진주시,장학금,총 275명 선발,장학금지급 : 최대 200만원,"초등학생, 중학생, 고등학생, 대학생",2022. 03. 07. (월) ~ 2022. 03. 21. (월),조회 : 860
4818,대통령과학장학 (2022년),한국장학재단,장학금,총 157명 선발,장학금지급 : 최대 -만원,대학생,"(1차) 2022. 03. 07. (월) ~ 2022. 03. 21. (월)
(2차) 2022. 03. 14. (월) ~ 2022. 04. 17. (일)
(3차) 2022. 03. 14. (월) ~ 2022. 04. 17. (일)","조회 : 2,603"
4819,안양시 인재육성장학 (2022년),안양시인재육성재단,장학금,총 400명 선발,장학금지급 : 최대 300만원,"고등학생, 대학생, 전문대생",2022. 02. 21. (월) ~ 2022. 03. 22. (화),조회 : 460
4820,고흥군 대학 신입생 장학 (2022년),고흥군,장학금,총 20명 선발,장학금지급 : 최대 500만원,고등학생,2022. 03. 10. (목) ~ 2022. 03. 22. (화),조회 : 237
4821,우양재단 청년밥상 (2022년),우양재단,기타장학,총 000명 선발,기타혜택 : 최대 40만원,"대학생, 기타/일반",2022. 03. 04. (금) ~ 2022. 03. 22. (화),"조회 : 2,597"
4822,가톨릭대 장애학생 특별장학,가톨릭대학교,장학금,인원 미정,장학금지급 : 최대 200만원,대학생,2022. 03. 07. (월) ~ 2022. 03. 18. (금),조회 : 152
4823,서울시 청년수당 (2022년),서울특별시,기타장학,"총 20,000명 선발",기타혜택 : 최대 300만원,기타/일반,2022. 03. 14. (월) ~ 2022. 03. 23. (수),"조회 : 10,590"
4824,2022년 수림장학,수림재단,장학금,총 10명 선발,장학금지급 : 최대 -만원,대학생,2022. 03. 14. (월) ~ 2022. 05. 13. (금),"조회 : 27,419"
4825,개강 테스트 2차,드림스폰,장학금,총 10명 선발,장학금지급 : 최대 10만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생, 대학원생, 청년, 기타/일반",2022. 03. 16. (수) ~ 2022. 03. 30. (수),조회 : 11
4826,장수군 애향장학 (2022년 1학기),장수군애향교육진흥재단,장학금,인원 미정,장학금지급 : 최대 500만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생",2022. 03. 07. (월) ~ 2022. 03. 20. (일),조회 : 250
4827,현대모비스 연구장학 (2022년 상반기),현대모비스,"장학금, 연수/연구장학, 취업연계/산학장학",인원 미정,연수/연구지원 : 최대 -만원,대학원생,2022. 03. 07. (월) ~ 2022. 03. 21. (월),조회 : 44
4828,현대제철 연구장학 (2022년 상반기),현대제철,"장학금, 연수/연구장학",인원 미정,장학금지급 : 최대 170만원,대학원생,2022. 03. 07. (월) ~ 2022. 03. 21. (월),조회 : 598
4829,현대오토에버 석사 장학,현대오토에버,장학금,인원 미정,연수/연구지원 : 최대 -만원,대학원생,2022. 03. 07. (월) ~ 2022. 03. 21. (월),조회 : 277
4830,서울시 미술영재 장학,서울시,장학금,총 100명 선발,기타혜택 : 최대 -만원,"초등학생, 중학생, 고등학생",2022. 03. 07. (월) ~ 2022. 03. 21. (월),조회 : 225
4832,성남시 청년창업 두드림 지원사업,성남산업진흥원,기타장학,총 -명 선발,"기타혜택 : 최대 1,250만원",청년,2022. 02. 23. (수) ~ 2022. 03. 23. (수),조회 : 491
4833,부천시 상점현대화 지원사업,부천사업진흥원,기타장학,총 30명 선발,기타혜택 : 최대 500만원,기타/일반,2022. 03. 02. (수) ~ 2022. 03. 23. (수),조회 : 176
4834,안성시 청년창업 지원사업,경기도경제과학진흥원,기타장학,총 4명 선발,기타혜택 : 최대 -만원,"대학생, 기타/일반",2022. 02. 22. (화) ~ 2022. 03. 14. (월),조회 : 233
