idx,scholarship_name,foundation,scholarship_type,recruit,benefit,target,period,memo
5065,서울형 미디어콘텐츠 R&D 지원사업,서울산업진흥원,기타장학,인원 미정,기타혜택 : 최대 20000만원,기타/일반,2022. 03. 24. (목) ~ 2022. 04. 27. (수),서울산업진흥원에서 콘텐츠 산업의 핵심 성장 동력을 구축하고 K-콘텐츠의 글로벌 경쟁력을 제고하기 위해 서울시 소재의 중소·벤처기업의 기술사업화를 지원하는 사업입니다.
5066,광명시 청년 학습동아리 모집,광명시,기타장학,총 -명 선발,기타혜택 : 최대 140만원,"청년, 기타/일반",2022. 04. 13. (수) ~ 2022. 04. 27. (수),광명시에서 청년 커뮤니티 활성화를 위해 청년들의 창의적이고 자율적인 다양한 동아리를 지원하는 사업입니다.
5067,이승엽 야구장학금,이승엽야구장학재단,장학금,총 18명 선발,"장학금지급 : 최대 50만원
기타혜택 : 최대 -만원","초등학생, 중학생, 고등학생",2022. 04. 01. (금) ~ 2022. 04. 27. (수),이승엽야구장학재단에서 어려운 환경속에서 운동을 하고 있는 유소년 선수들의 경제적 부담을 덜어주고 지속적인 소통을 할 수 있는 환경을 만들어 주기 위한 사업입니다.
5068,군포시 소상공인 경영환경 개선사업,군포시,기타장학,인원 미정,기타혜택 : 최대 300만원,기타/일반,2022. 04. 25. (월) ~ 2022. 04. 29. (금),군포시에서 소상공인에 대한 맞춤형 경영 컨설팅과 점포 내 환경개선을 통해 소상공인의 경영 위기 극복 및 사업 경쟁력 강화를 위한 개선사업을 공고하였습니다.
5069,김포시민 장학 (2022년),김포시민장학회,장학금,총 423명 선발,장학금지급 : 최대 200만원,"초등학생, 중학생, 고등학생, 대학생, 전문대생",2022. 04. 11. (월) ~ 2022. 04. 29. (금),김포시민장학회에서 김포시 출신 초·중·고·대학생 총 290명에게 최대 200만원을 지원하는 장학금입니다.
5070,신한 인큐베이터 스타트업 모집,신한금융희망재단,기타장학,인원 미정,기타혜택 : 최대 7000만원,기타/일반,2022. 04. 01. (금) ~ 2022. 04. 27. (수),신한금융희망재단에서 친환경과 사회혁신을 실현하는 스타트업을 위해 '신한 스퀘어브릿지 대구'와 함께 성장할 스타트업을 지원하는 사업입니다.
5071,강원대 공자장학,강원대학교 공자학원,연수/연구장학,총 00명 선발,연수/연구지원 : 최대 -만원,"고등학생, 대학생, 전문대생, 대학원생, 청년",2022. 04. 25. (월) ~ 2022. 04. 27. (수),강원대학교 공자학원에서 교내 학생 및 지역민들의 중국어 능력 향상을 위해 지원하는 사업입니다.
5072,안양시 Blue100 기술개발 지원사업,안양산업진흥원,기타장학,인원 미정,기타혜택 : 최대 2500만원,기타/일반,2022. 04. 07. (목) ~ 2022. 04. 29. (금),안양산업진흥원에서 우수기업 발굴과 집중 육성을 통해 창업 생태계를 완성하고 지역경제 활성화를 위해 모집하고 있습니다.
5073,아셈듀오장학재단 벨기에 펠로우십,아셈듀오,기타장학,총 2명 선발,기타혜택 : 최대 -만원,기타/일반,2022. 02. 14. (월) ~ 2022. 04. 28. (목),아셈듀오장학재단에서 Belgium/Wallonia-Brussels과 아시아 22개국 간의 균형있고 영구적인 교수 교류를 촉진하기 위해 지원하는 사업입니다.
5074,안산시 생활안정 지원금 (특고・프리랜서),안산시,기타장학,인원 미정,기타혜택 : 최대 30만원,기타/일반,"(1차) 2022. 04. 15. (금) ~ 2022. 04. 29. (금)
(2차) 2022. 04. 15. (금) ~ 2022. 04. 30. (토)",코로나 19 재확산으로 인해 안산시에서 재정적 어려움을 겪고 있는 특수형태근로종사자 및 프리랜서를 위한 생활안정지원금을 지원합니다.
5075,경기도 협동조합 멘토링 사업 (2022년 상반기),경기도일자리재단,기타장학,인원 미정,기타혜택 : 최대 -만원,기타/일반,2022. 04. 04. (월) ~ 2022. 04. 29. (금),"경기도사회적경제센터에서 협동조합에 대한 올바른 정보 제공 및 역량 강회를 위한 맞춤형 멘토링을 지원하고 이를 통해 지속가능한 협동조합을 발굴, 육성하고자 모집하였습니다."
