id,contest_name,company_type,institution,target,rewards,app_period,contest_benefit,fields
100481,2022 관악문화재단 전국 자유주제 창작곡 콘테스트 'Be The Star 시즌2 아.마.도',비영리단체/협회/재단,관악문화재단,대상 제한 없음,1500만 원,22.8.8 ~ 22.9.15,기타,예체능/패션
100482,"제3회 세명대학교 지역문화연구소 공모전 '나, 그리고 제천이야기'",기타,세명대학교 지역협력센터 / 세명대학교 지역문화연구소,대상 제한 없음,600만 원,22.7.1 ~ 22.9.4,기타,문학/시나리오
100483,K문화독립군 다짐 2022 공모전,기타,"K문화독립군, Rang Korea / K문화독립군, Rang Korea",대상 제한 없음,200만 원,22.6.2 ~ 22.11.30,"기타, 상장 수여",문학/시나리오
100485,2022 KT&G 상상마당 X KIKKERLAND 디자인 챌린지,기타,KT&G 상상마당,대상 제한 없음,200만 원,22.9.7 ~ 22.10.23,기타,디자인/순수미술/공예
100486,제25회 동춘당 전국휘호대회,공공기관/공기업,대덕구 / 대덕문화원,대상 제한 없음,215만 원,22.8.12 ~ 22.9.24,"기타, 상장 수여",디자인/순수미술/공예
100488,국민체육진흥공단 대국민 혁신 아이디어 공모,공공기관/공기업,국민체육진흥공단,대상 제한 없음,-,22.8.12 ~ 22.8.31,기타,기획/아이디어
100489,2022 중소기업협동조합알리기 영상물 공모전,비영리단체/협회/재단,중소기업협동조합,대상 제한 없음,650만 원,22.8.1 ~ 22.9.9,기타,사진/영상/UCC
100491,나만의 대전 여행 코스 기획 공모전,공공기관/공기업,대전관광공사,대상 제한 없음,230만 원,22.8.19 ~ 22.9.18,기타,기획/아이디어
100493,2022 제주스마트시티챌린지 스마트허브 아이디어 공모전,중소기업,제주테크노파크,대상 제한 없음,280만 원,22.8.17 ~ 22.9.6,기타,기획/아이디어
100494,2022 라이징스타를 찾아라 참여밴드 모집,비영리단체/협회/재단,화성시문화재단,"대학생, 직장인/일반인",-,22.8.12 ~ 22.8.31,기타,예체능/패션
100517,2022 양성평등주간 기념 전지적 엄마·아빠 시점 사진공모전,비영리단체/협회/재단,서울시여성가족재단,대상 제한 없음,-,22.8.1 ~ 22.8.19,기타,사진/영상/UCC
100519,2022 서울 SAC아트 & 디자인 대회,기타,서울종합예술실용학교 디자인예술계열,"청소년, 직장인/일반인",-,22.9.26 ~ 22.12.5,"기타, 상장 수여",디자인/순수미술/공예
100520,제2회 SAC 피팅모델선발대회,기타,서울종합예술실용학교 모델전공,"청소년, 대학생",60만 원,22.6.20 ~ 22.9.23,기타,디자인/순수미술/공예
100564,반민족 일제부역 조선일보 처벌 유튜브 공모전,비영리단체/협회/재단,언론소비자주권행동,대상 제한 없음,200만 원,22.7.11 ~ 22.12.31,기타,사진/영상/UCC
100572,2022년 온라인 콘텐츠 활용 교과서 우수 수업사례 공모전 (~9/30),-,공모전사무국,-,-,-,-,
