id,activity_name,company_type,institution,target,app_period,activity_period,recruit,prefer,activity_benefit,interests,fields,,,,,,,,,,,
100211,"[강남장애인복지관] 정기 자원봉사자 모집(제과제빵, 바리스타, 이미용보조, 밑반찬 배달)",공공기관/공기업,강남장애인복지관,"대학생, 직장인/일반인",22.8.18 ~ 모집시 마감,22.9.1 ~ 22.12.30,5명,"휴학 중/시간 투자 가능, 기타",봉사활동시간,"사회공헌/교류, 기타",봉사단-국내,,,,,,,,,,,
100219,2022 제주국제청년포럼(JIFF) 참가 모집,공공기관/공기업,제주국제연수센터,"대학생, 직장인/일반인",22.8.10 ~ 22.9.11,22.9.24 ~ 22.11.4,00명,외국어,"수료증 및 인증서, 교통비","행사/페스티벌, 사회공헌/교류","강연, 멘토링",,,,,,,,,,,
100223,[추천대외활동]밸유 for ESG 봉사활동팀 모집 (~9/6),대기업,롯데지주,대학생,22.8.17 ~ 22.9.6,22.10.1 ~ 23.3.1,0명,기타,활동비,기타,봉사단-국내,,,,,,,,,,,
100228,상상만개+ 친구가 예술가,공공기관/공기업,미들클래스소사이어티 사회적협동조합,대상 제한 없음,22.8.18 ~ 22.8.23,22.9.1 ~ 22.11.30,100명,기타,행사 참여,"문화/역사, 디자인/사진/예술/영상",강연,,,,,,,,,,,
100231,포토샵 컬러툴/ 인물보정 클래스,기타,엔토피아,대상 제한 없음,22.8.18 ~ 22.8.25,22.8.27 ~ 22.9.4,00명,기타,"실무 교육, 전문가/임직원 멘토링","언론/미디어, 디자인/사진/예술/영상","강연, 멘토링",,,,,,,,,,,
100236,[신한 스퀘어브릿지:유스] 신한 커리어업 2기 직무교육생 모집 (~9/5),스타트업,신한 스퀘어브릿지 유스 운영사무국,"대학생, 직장인/일반인",22.8.16 ~ 22.9.5,22.9.14 ~ 22.9.24,100명,"파워블로거/SNS, 사진/영상/디자인 툴, 콘텐츠 기획/제작 경험, 휴학 중/시간 투자 가능, 타 대외활동 경험, 기타","실무 교육, 인턴쉽 기회","교육, 경영/컨설팅/마케팅","마케터, 멘토링",,,,,,,,,,,
100237,[청주대학교 산학협력단] 청년구직자 현장체험형 취업지원사업 참여자 모집,동아리/학생자치단체,청주대학교 산학협력단,대상 제한 없음,22.8.18 ~ 22.9.15,22.3.7 ~ 22.12.31,00명,"컴퓨터 활용능력, 휴학 중/시간 투자 가능, 기타","실무 교육, 전문가/임직원 멘토링","교육, 기타","멘토링, 기타",,,,,,,,,,,
100254,[﻿﻿KOICA] 제15회 서울ODA국제회의 개최,공공기관/공기업,한국국제협력단(KOICA),대상 제한 없음,22.8.16 ~ 22.9.1,22.9.1 ~ 22.9.1,00명,"외국어, 기타",행사 참여,"행사/페스티벌, 정치/사회/법률",강연,,,,,,,,,,,
100259,[코스맥스] BY ME PROJECT 4기 모집 | 뷰티&건강식품 브랜드 개발 프로젝트 (~ 8월 21일 23:59),중견기업,코스맥스(주),"대학생, 직장인/일반인",22.8.4 ~ 22.8.21,22.9.2 ~ 22.12.9,24명,"파워블로거/SNS, 사진/영상/디자인 툴, 콘텐츠 기획/제작 경험, 휴학 중/시간 투자 가능, 타 대외활동 경험, 행사 기획 경험","활동비, 전문가/임직원 멘토링","디자인/사진/예술/영상, 경영/컨설팅/마케팅","서포터즈, 마케터",,,,,,,,,,,
100261,[동아일보 골든걸] 대학생 SNS 서포터즈 79기 모집 (~8/30),중견기업,동아일보 골든걸,대학생,22.8.17 ~ 22.8.30,22.8.31 ~ 22.10.11,00명,"사진/영상/디자인 툴, 콘텐츠 기획/제작 경험",수료증 및 인증서,"언론/미디어, 경영/컨설팅/마케팅",서포터즈,,,,,,,,,,,
100263,[KAIT/과기정통부] 제 2기 인공지능(AI) 서비스 개발과정 수강생 모집(전액무료/8.30 마감),공공기관/공기업,한국정보통신진흥협회,대상 제한 없음,22.7.23 ~ 22.8.30,22.9.2 ~ 22.11.22,00명,기타,"실무 교육, 전문가/임직원 멘토링","교육, 과학/공학/기술/IT","강연, 기타",,,,,,,,,,,
100270,[마포구]내 마음으로 떠나는 여행 Ⅰ 참여자 모집,비영리단체/협회/재단,마포구가족센터,직장인/일반인,22.8.12 ~ 22.8.19,22.8.24 ~ 22.9.2,10명,기타,행사 참여,기타,기타,,,,,,,,,,,
100271,KBS미디어평생교육센터에서 서포터즈 8기를 모집합니다.,중소기업,(주)형설이엠제이,대상 제한 없음,22.8.18 ~ 22.8.29,22.8.18 ~ 22.8.29,30명,"파워블로거/SNS, 타 대외활동 경험","수료증 및 인증서, 입사시 혜택","창업/자기계발, 콘텐츠",서포터즈,,,,,,,,,,,
100273,[마포구]1인가구 안전 도어지킴이 설치지원 (~선착순 30가구),비영리단체/협회/재단,마포구가족센터,"대학생, 직장인/일반인",22.8.18 ~ 모집시 마감,22.1.1 ~ 22.11.30,00명,기타,사은품 지급,기타,기타,,,,,,,,,,,
100278,"청년 Growing UP, 제1회 바른채용 역량면접코칭 클리닉",중소기업,한국바른채용인증원,대상 제한 없음,22.8.18 ~ 모집시 마감,22.8.18 ~ 22.8.29,50명,기타,"사은품 지급, 전문가/임직원 멘토링","행사/페스티벌, 교육","멘토링, 강연",,,,,,,,,,,
100282,마케팅 실무 전문교육 8기 모집,기타,뷰티풀라이프,대상 제한 없음,22.8.18 ~ 22.8.22,22.10.2 ~ 22.12.4,00명,기타,"실무 교육, 전문가/임직원 멘토링","언론/미디어, 디자인/사진/예술/영상","강연, 마케터",,,,,,,,,,,
100284,2022 서울청년봉사제 & 갓생 플로깅,스타트업,리브위드,대상 제한 없음,22.8.18 ~ 22.8.23,22.8.27 ~ 22.8.27,100명,기타,"사은품 지급, 봉사활동시간",행사/페스티벌,"봉사단-국내, 기타",,,,,,,,,,,
100294,일동펫 서포터즈 [일동펫 프렌즈 1기],중견기업,일동이커머스(주),대학생,22.8.19 ~ 22.9.1,22.9.5 ~ 22.11.4,00명,"파워블로거/SNS, 사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 콘텐츠 기획/제작 경험, 컴퓨터 활용능력, 휴학 중/시간 투자 가능, 타 대외활동 경험, 행사 기획 경험","사은품 지급, 수료증 및 인증서","경영/컨설팅/마케팅, 콘텐츠","서포터즈, 마케터",,,,,,,,,,,
100295,트래버디 대구 및 경북 여행/관광 서포터즈 모집,스타트업,주식회사 트래버디,"대학생, 직장인/일반인",22.8.22 ~ 22.8.28,22.9.13 ~ 22.10.31,00명,외국어,"활동비, 수료증 및 인증서",여행/호텔/항공,서포터즈,,,,,,,,,,,
100297,"[고용노동부/아시아경제] 데이터분석, 핀테크에 관심 있다면?! 바로 지금 훈련장려금 받으면서 배워보자! 국비무료교육 취업특화과정(~9.11)",중견기업,(주)아시아경제,대상 제한 없음,22.8.18 ~ 22.9.15,22.9.5 ~ 23.2.22,00명,"컴퓨터 활용능력, 휴학 중/시간 투자 가능","실무 교육, 수료증 및 인증서","교육, 과학/공학/기술/IT",기타,,,,,,,,,,,
100303,문화예술봉사단메리 강원지부 기획단원(사무국) 모집 (8/18~8/25),비영리단체/협회/재단,사단법인 문화예술봉사단메리,"대학생, 직장인/일반인",22.8.18 ~ 22.8.25,22.9.24 ~ 23.2.25,00명,"사진/영상/디자인 툴, 콘텐츠 기획/제작 경험, 타 대외활동 경험, 행사 기획 경험, 기타","수료증 및 인증서, 봉사활동시간","행사/페스티벌, 디자인/사진/예술/영상","봉사단-국내, 기타",,,,,,,,,,,
100307,2022 대한상공회의소 청년 서포터즈 모집,기타,대한상공회의소,"대학생, 직장인/일반인",22.8.12 ~ 22.8.26,22.9.1 ~ 22.12.31,100명,"파워블로거/SNS, 사진/영상/디자인 툴, 기타","활동비, 수료증 및 인증서",기타,서포터즈,,,,,,,,,,,
100308,2022 천안시사회적경제지원센터 SE청년 서포터즈 1기 모집,공공기관/공기업,천안시사회적경제지원센터 / 천안시,"대학생, 직장인/일반인",22.8.12 ~ 22.8.24,22.8.1 ~ 22.12.31,12명,기타,"활동비, 수료증 및 인증서",경제/금융,서포터즈,,,,,,,,,,,
