,인덱스,기업명,관심분야,경영컨설팅마케팅,경제금융,과학공학기술IT,교육,문화역사,뷰티미용화장품,사회공헌교류,언론미디어,여행호텔항공,요리식품,의료보건,정치사회법률,창업자기계발,행사페스티벌,환경에너지,기타체육헬스,디자인사진예술영상콘텐츠,우대역량,리더십,멘토링/수업 진행 경험,모두 지원 가능,사진/영상/디자인 툴,외국어,우대역량_기타,취재/인터뷰/기사 경험,컴퓨터 활용능력,콘텐츠 기획/제작 경험,타 대외활동 경험,파워블로거/SNS,행사 기획 경험,휴학 중/시간 투자 가능,모집 인원,모집인원규모
336,54999,루트리,경영컨설팅마케팅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,50,중
337,55002,안단잼,경영컨설팅마케팅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,5,소
338,55004,국민체육진흥공단,경영컨설팅마케팅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,20,소
339,55006,광주 YWCA,교육,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,9,소
340,55013,고시넷,경영컨설팅마케팅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,9,소
341,55030,KOREN   ,언론미디어,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 콘텐츠 기획/제작 경험, 타 대외활동 경험",0,0,0,1,0,0,1,0,1,1,0,0,0,9,소
342,55037,패스트캠퍼스   ,과학공학기술IT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,컴퓨터 활용능력,0,0,0,0,0,0,0,1,0,0,0,0,0,15,소
343,55040,(주)스마트크리에이터   ,경영컨설팅마케팅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"파워블로거/SNS, 사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 멘토링/수업 진행 경험, 콘텐츠 기획/제작 경험, 타 대외활동 경험",0,1,0,1,0,0,1,0,1,1,1,0,0,99,중
344,55049,대한민국청소년자단,언론미디어,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,99,중
345,55051,(주)인터내셔널스포츠그룹,경영컨설팅마케팅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"컴퓨터 활용능력, 타 대외활동 경험",0,0,0,0,0,0,0,1,0,1,0,0,0,9,소
346,55053,아트인사이트   ,언론미디어,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,35,중
347,55054,배러미 코리아,교육,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,99,중
348,55056,대한민국인재연합회   ,행사페스티벌,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"사진/영상/디자인 툴, 타 대외활동 경험",0,0,0,1,0,0,0,0,0,1,0,0,0,99,중
349,55057,지파운데이션   ,디자인사진예술영상,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"파워블로거/SNS, 사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 콘텐츠 기획/제작 경험, 행사 기획 경험",0,0,0,1,0,0,1,0,1,0,1,1,0,10,소
350,55058,서울특별시 식생활종합지원센터   ,교육,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"파워블로거/SNS, 사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 콘텐츠 기획/제작 경험, 타 대외활동 경험",0,0,0,1,0,0,1,0,1,1,1,0,0,100,중
351,55059,유니세프한국위원회 부산사무   ,행사페스티벌,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"멘토링/수업 진행 경험, 휴학 중/시간 투자 가능, 타 대외활동 경험, 행사 기획 경험",0,1,0,0,0,0,0,0,0,1,0,1,1,60,중
352,55060,웹브라이트   ,콘텐츠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"파워블로거/SNS, 사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 콘텐츠 기획/제작 경험, 컴퓨터 활용능력, 타 대외활동 경험",0,0,0,1,0,0,1,1,1,1,1,0,0,35,중
353,55064,공모전사무국   ,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,9,소
354,55068,(주)인트윈,창업자기계발,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,9,소
355,55072,인천청소년문화센터   ,교육,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"사진/영상/디자인 툴, 멘토링/수업 진행 경험, 콘텐츠 기획/제작 경험, 컴퓨터 활용능력",0,1,0,1,0,0,0,1,1,0,0,0,0,15,소
356,55077,믹스디,경영컨설팅마케팅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,파워블로거/SNS,0,0,0,0,0,0,0,0,0,0,1,0,0,20,소
357,55079,ESSA SOFA,경영컨설팅마케팅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,파워블로거/SNS,0,0,0,0,0,0,0,0,0,0,1,0,0,9,소
358,55081,충청북도,행사페스티벌,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,타 대외활동 경험,0,0,0,0,0,0,0,0,0,1,0,0,0,6,소
359,55083,아리얼,경영컨설팅마케팅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,파워블로거/SNS,0,0,0,0,0,0,0,0,0,0,1,0,0,9,소
360,55084,듀이듀이,경영컨설팅마케팅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,20,소
361,55085,북센스출판사,경영컨설팅마케팅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,모두 지원 가능,0,0,1,0,0,0,0,0,0,0,0,0,0,10,소
362,55088,광진문화재단,경영컨설팅마케팅,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"사진/영상/디자인 툴, 콘텐츠 기획/제작 경험",0,0,0,1,0,0,0,0,1,0,0,0,0,6,소
