,idx,foundation,scholarship_type,근로장학,기숙사/주거지원,기타장학,대출지원,연수/연구장학,장학금,취업연계/산학장학,target,고등학생,기타/일반,대학생,대학원생,전문대생,중학생,청년,초등학생,선발 인원(명),선발인원규모,장학혜택(만원),장학혜택규모,memo
3143,5474,정읍시민장학재단,장학금,0,0,0,0,0,1,0,"대학생, 전문대생",0,0,1,0,1,0,0,0,133,대,220,대,"정읍시민장학재단에서 정읍시 출신 전문대생, 대학생 총 133명에게 최대 220만원을 지원하는 장학금입니다."
3144,5475,바로크레디트대부,장학금,0,0,0,0,0,1,0,대학생,0,0,1,0,0,0,0,0,99,대,100,소,바로크레디트대부에서 장학금이 필요한 저소득층 대학생에게 학업지원금을 지원하는 장학금입니다.
3145,5476,익산사랑장학재단,기숙사/주거지원,0,1,0,0,0,0,0,"대학생, 전문대생",0,0,1,0,1,0,0,0,5,소,0,금액미정,익산사랑장학재단에서 익산시 학생들이 학업에 전념할 수 있는 안정적인 주거 환경을 제공하기 위해 지원하는 사업입니다.
3146,5477,고리원자력본부,장학금,0,0,0,0,0,1,0,"고등학생, 대학생, 전문대생",1,0,1,0,1,0,0,0,320,대,200,중,"고리원자력본부에서 고등학생, 대학생 총 320명에게 최대 200만원을 지원하는 장학금입니다."
3147,5478,경기도,기타장학,0,0,1,0,0,0,0,기타/일반,0,1,0,0,0,0,0,0,0,인원미정,0,금액미정,경기도에서 경기도에 거주하는 여성 청소년에게 생리용품 구입비를 지원하는 사업입니다.
3148,5479,전남인재평생교육진흥원,대출지원,0,0,0,1,0,0,0,"대학생, 전문대생, 청년",0,0,1,0,1,0,1,0,0,인원미정,0,금액미정,전남인재평생교육진흥원에서 한국장학재단 학자금 대출을 한 도내 대학생들에게 대출 이자 전액을 지원하는 사업입니다.
3149,5480,울진군장학재단,장학금,0,0,0,0,0,1,0,"대학생, 전문대생",0,0,1,0,1,0,0,0,1390,대,250,대,울진군장학재단에서 발전소주변지역지원 명목으로 울진군의 대학생들을 선발해 장학금을 지급하는 장학사업입니다.
3150,5481,대구창조경제혁신센터,"장학프로그램, 기타장학",0,0,1,0,0,0,0,"청년, 기타/일반",0,1,0,0,0,0,1,0,0,인원미정,2000,대,"대구창조경제혁신센터에서 대구 청년들이 주체가 되어 다양한 프로젝트를 발굴, 기획·실행할 수 있는 활동을 지원하는 사업입니다."
3151,5482,김해시,장학금,0,0,0,0,0,1,0,"대학생, 전문대생",0,0,1,0,1,0,0,0,92,대,50,소,김해시에서 소음등고선 내 공항소음 대책지역 및 인근지역에 거주하는 주민 중 국내 대학 재학생 자녀를 지원하는 장학금입니다.
3152,5483,글로벌한상드림,장학금,0,0,0,0,0,1,0,"중학생, 고등학생, 대학생",1,0,1,0,0,1,0,0,0,인원미정,200,중,글로벌한상드림에서 차세대 재외동포가 안정적인 수학이 가능하도록 지원하는 장학금입니다.
3153,5484,연천군,기타장학,0,0,1,0,0,0,0,기타/일반,0,1,0,0,0,0,0,0,0,인원미정,100,소,연천군에서 연천군 예술인의 안정적인 창작활동을 지원하기 위한 사업입니다.
