,idx,company_type,공공기관/공기업,기업형태_기타,대기업,비영리단체/협회/재단,중견기업,중소기업,field,UCC,건설,건축,게임,공모분야_기타,공예,공학,과학,광고,기획,네이밍,디자인,마케팅,만화,문학,사진,순수미술,슬로건,시나리오,아이디어,영상,예체능,인테리어,창업,캐릭터,패션,학술,target,대상 제한 없음,대학생,직장인/일반인,청소년,benefit,기타,상장 수여,실제상용화,인턴/정규직채용,입사시 가산점,전시기회,해외연수,시상규모(만원),시상 규모
69,81054,공공기관/공기업,1,0,0,0,0,0,건축/건설/인테리어,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,대학생,0,1,0,0,상장 수여,0,1,0,0,0,0,0,290,중
70,81142,비영리단체/협회/재단,0,0,0,1,0,0,창업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,직장인/일반인,0,0,1,0,기타,1,0,0,0,0,0,0,1250,대
71,81156,중소기업,0,0,0,0,0,1,사진/영상/UCC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,대상 제한 없음,1,0,0,0,"실제상용화, 기타",1,0,1,0,0,0,0,500,중
72,81158,공공기관/공기업,1,0,0,0,0,0,학술,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,대학생,0,1,0,0,기타,1,0,0,0,0,0,0,1100,대
73,81206,중소기업,0,0,0,0,0,1,디자인/순수미술/공예,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"대학생, 직장인/일반인",0,1,1,0,기타,1,0,0,0,0,0,0,80,소
74,81207,기업형태_기타,0,1,0,0,0,0,사진/영상/UCC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,대상 제한 없음,1,0,0,0,기타,1,0,0,0,0,0,0,170,소
75,81208,공공기관/공기업,1,0,0,0,0,0,문학/시나리오,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,대상 제한 없음,1,0,0,0,기타,1,0,0,0,0,0,0,120,소
76,81209,공공기관/공기업,1,0,0,0,0,0,디자인/순수미술/공예,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,대상 제한 없음,1,0,0,0,"실제상용화, 기타",1,0,1,0,0,0,0,290,중
77,81210,중견기업,0,0,0,0,1,0,사진/영상/UCC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,대상 제한 없음,1,0,0,0,기타,1,0,0,0,0,0,0,4220,대
78,81211,비영리단체/협회/재단,0,0,0,1,0,0,문학/시나리오,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,청소년,0,0,0,1,상장 수여,0,1,0,0,0,0,0,0,시상규모미정
79,81212,기업형태_기타,0,1,0,0,0,0,사진/영상/UCC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,대상 제한 없음,1,0,0,0,기타,1,0,0,0,0,0,0,850,대
80,81220,비영리단체/협회/재단,0,0,0,1,0,0,디자인/순수미술/공예,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,대상 제한 없음,1,0,0,0,기타,1,0,0,0,0,0,0,350,중
81,81245,대기업,0,0,1,0,0,0,캐릭터/만화/게임,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,대상 제한 없음,1,0,0,0,"실제상용화, 기타",1,0,1,0,0,0,0,2500,대
82,81271,중소기업,0,0,0,0,0,1,네이밍/슬로건,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,대상 제한 없음,1,0,0,0,기타,1,0,0,0,0,0,0,0,시상규모미정
83,81276,중소기업,0,0,0,0,0,1,예체능/패션,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,대상 제한 없음,1,0,0,0,실제상용화,0,0,1,0,0,0,0,550,중
84,81289,중견기업,0,0,0,0,1,0,사진/영상/UCC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,대상 제한 없음,1,0,0,0,"실제상용화, 기타",1,0,1,0,0,0,0,500,중
85,81302,공공기관/공기업,1,0,0,0,0,0,예체능/패션,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"청소년, 대학생",0,1,0,1,상장 수여,0,1,0,0,0,0,0,480,중
86,81304,대기업,0,0,1,0,0,0,창업,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,대학생,0,1,0,0,"해외연수, 전시기회",0,0,0,0,0,1,1,10000,대
