,id,activity_name,recruit,prefer,activity_benefit,interests,fields,경영/컨설팅/마케팅,경제/금융,과학/공학/기술/IT,교육,기타,디자인/사진/예술/영상,문화/역사,뷰티/미용/화장품,사회공헌/교류,언론/미디어,여행/호텔/항공,요리/식품,유통/물류,의료/보건,정치/사회/법률,창업/자기계발,체육/헬스,콘텐츠,행사/페스티벌,환경/에너지,교통비,봉사활동시간,사은품 지급,수료증 및 인증서,실무 교육,인턴쉽 기회,입사시 혜택,전문가/임직원 멘토링,행사 참여,활동비,fields_기타,강연,기자단,마케터,멘토링,봉사단-국내,봉사단-해외,서포터즈,해외탐방-무료,해외탐방-유료,리더십,멘토링/수업 진행 경험,사진/영상/디자인 툴,외국어,우대역량_기타,취재/인터뷰/기사 경험,컴퓨터 활용능력,콘텐츠 기획/제작 경험,타 대외활동 경험,파워블로거/SNS,행사 기획 경험,휴학 중/시간 투자 가능,모집 인원,모집인원규모
1705,127025,2023년 사람도서관 1기 서포터즈 모집,00명,"파워블로거/SNS, 사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 휴학 중/시간 투자 가능","활동비, 실무 교육","언론/미디어, 콘텐츠","서포터즈, 기자단",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,99,중
1706,127026,[상반기 취업 무료특강] 청년 취업 역량 강화 레벨업 프로그램_참여자 모집,00명,우대역량_기타,"실무 교육, 행사 참여","교육, 경영/컨설팅/마케팅","강연, 멘토링",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,99,중
1707,127042,[지음실험실] 2023 지음실험실 공유 프로젝트 모집 #청년강사,0명,우대역량_기타,"활동비, 수료증 및 인증서",창업/자기계발,fields_기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,소
1708,127045,2023 균형발전 콘텐츠 큐레이터 모집,20명,"사진/영상/디자인 툴, 취재/인터뷰/기사 경험, 콘텐츠 기획/제작 경험","활동비, 수료증 및 인증서","언론/미디어, 콘텐츠","기자단, fields_기타",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,20,소
1709,127047,[재공고] [부산관광공사] 2023 영마이스(Young MICE)단 모집 공고 (기한연장 및 제출처변경),20명,"파워블로거/SNS, 행사 기획 경험","행사 참여, 수료증 및 인증서","여행/호텔/항공, 행사/페스티벌","서포터즈, 멘토링",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,20,소
1710,127049,반도체 장비 및 제어시스템 SW 개발자 양성과정,00명,"멘토링/수업 진행 경험, 컴퓨터 활용능력, 외국어","실무 교육, 인턴쉽 기회","과학/공학/기술/IT, 기타",fields_기타,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,99,중
1711,127050,광명시사회복지협의회 기아자동차 기아챌린지 Key-서포터즈 9기 모집,20명,멘토링/수업 진행 경험,"수료증 및 인증서, 봉사활동시간","교육, 사회공헌/교류",서포터즈,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,소
1712,127055,"010PAY 대학생 온라인 서포터즈, 일공이들 1기 모집",16명,"파워블로거/SNS, 콘텐츠 기획/제작 경험","활동비, 사은품 지급",경제/금융,서포터즈,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,16,소
1714,127058,[서울시립영보정신요양원] 아트채움 서포터즈 모집,10명,"멘토링/수업 진행 경험, 리더십, 휴학 중/시간 투자 가능, 타 대외활동 경험","수료증 및 인증서, 봉사활동시간","디자인/사진/예술/영상, 사회공헌/교류",서포터즈,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,10,소
1715,127060,[2기] 자바 스프링 리액트로 완성하는 클라우드 활용 풀스택 개발과정 훈련생 모집,00명,우대역량_기타,실무 교육,"과학/공학/기술/IT, 창업/자기계발","강연, 멘토링",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,99,중
